date,region,service_type,shipment_volume,total_weight,total_revenue,fleet_vehicles_available,warehouse_capacity_used,labor_available,weather_impact,competitor_activity
2024-11-10,Northwest,Dedicated Contract Carriage,83,160839.25185435405,25756.406411576983,45,69.80224074715984,148,None,High
2024-07-25,Southwest,Fleet Maintenance,200,495345.21920836996,40916.155058546996,40,21.525322560636834,116,None,Normal
2023-06-16,Northwest,Supply Chain Solutions,176,413698.29719681136,88252.47749970228,62,32.21961946852302,93,Minor,Low
2023-11-09,Southwest,Transportation Management,158,419210.9504794205,27241.31202999632,81,51.103996493863846,137,None,Low
2024-03-13,Northeast,Freight Management,249,544786.1261833567,94866.52619368346,72,70.69478744651396,119,None,Low
2024-01-19,Midwest,Supply Chain Solutions,309,559594.8639181806,105361.1532675308,68,37.69975628804679,122,None,Normal
2024-07-28,Northeast,Dedicated Contract Carriage,51,131270.92727513853,16064.622443753782,48,55.723881032024245,71,None,Low
2024-05-03,West,Freight Management,168,432398.0105357082,94646.7237879837,40,34.049990505314746,136,None,Normal
2024-08-10,Southeast,Dedicated Contract Carriage,85,123131.01760576552,44761.808485859074,60,75.9220624640132,189,Moderate,High
2023-11-28,Northwest,Supply Chain Solutions,120,195246.513871033,32730.079653916262,98,37.517844494236066,71,Minor,High
2023-11-18,West,Dedicated Contract Carriage,46,136134.90842596805,14376.974849895227,74,66.98082733279136,111,None,Low
2024-12-03,West,Distribution Center Management,210,384073.97555378085,166691.8237594551,44,57.334707732963295,105,None,Normal
2023-11-15,West,Transportation Management,160,454565.50195432996,252163.4960364712,69,73.07410475562996,166,None,Normal
2023-11-20,Southeast,Transportation Management,155,235358.8971681402,100638.05951390322,94,41.84841760211725,172,None,High
2024-11-09,Midwest,Freight Management,59,115586.08397804282,18085.049673443114,74,66.42961748754205,122,Moderate,Normal
2024-09-30,West,Dedicated Contract Carriage,98,232128.0285083894,49101.17464894693,59,46.35787987102887,90,None,Normal
2024-07-28,Midwest,Dedicated Contract Carriage,64,150156.16000020184,24653.523433103855,39,62.22021995742251,144,None,Normal
2023-08-25,Midwest,Transportation Management,131,248464.47063957265,33242.73606689696,92,81.3706808426001,82,Minor,Low
2023-12-30,Midwest,Freight Management,121,255437.44833447973,37787.12255120063,32,55.22137933279031,186,None,Normal
2024-05-24,West,Freight Management,172,286781.38416359155,99932.30341889146,71,49.07347712945759,123,Minor,Normal
2023-07-13,Midwest,Distribution Center Management,155,239173.02061592834,59735.01064742562,71,24.165518865830684,109,None,Normal
2023-07-10,Midwest,Freight Management,211,422384.1136262446,150117.7431659018,77,42.65070132486258,103,None,Low
2023-01-08,West,Distribution Center Management,27,42262.13998035631,7421.258319938082,24,20.591845228372343,103,None,Normal
2024-05-08,Midwest,Transportation Management,259,687793.329829893,145737.46121579362,43,85.04051950808663,71,None,High
2024-02-10,Northwest,Fleet Maintenance,111,168546.8717344893,69939.02997603551,77,41.04357134578749,175,None,Low
2024-05-25,Southeast,Transportation Management,132,357164.34075868054,42093.47945867636,27,42.997645575767926,64,Minor,Normal
2023-01-13,Northeast,Dedicated Contract Carriage,151,312984.88294713927,51921.73678047264,95,51.23843990699698,105,None,Low
2024-10-30,West,Supply Chain Solutions,250,392419.3738291476,258902.56527099354,44,52.87044972915267,110,None,Normal
2024-03-18,Southeast,Freight Management,229,558994.2764661968,561553.0972349677,44,41.15494215654657,144,None,Normal
2024-12-30,Midwest,Dedicated Contract Carriage,175,634569.2894279452,54973.889701563356,58,57.13246395304111,57,None,Low
2023-12-01,Northeast,Fleet Maintenance,154,299161.28794994485,39972.45211874409,39,65.28604125938003,69,None,Normal
2023-12-29,West,Fleet Maintenance,163,326755.7852617678,159925.42993039943,88,69.03425647800219,124,None,Normal
2024-07-05,Northeast,Transportation Management,165,282406.18982986757,51747.16455905063,35,45.60466475625435,157,None,High
2024-02-29,Southeast,Transportation Management,297,682407.5379490886,195606.65404099054,47,79.4588494071472,108,None,Normal
2023-07-31,Northeast,Dedicated Contract Carriage,171,541877.1194545613,149767.66397844988,42,73.09207008813041,90,Moderate,Low
2024-02-17,West,Dedicated Contract Carriage,137,334924.5793972893,32219.317612750794,67,70.58380651652479,113,None,High
2023-06-19,Midwest,Fleet Maintenance,203,355768.02468114975,60511.188442776394,80,76.80654594893961,159,None,Normal
2024-06-29,West,Transportation Management,115,179311.44504225568,49938.18823301248,59,50.96260998890014,67,None,Normal
2023-05-01,Northwest,Transportation Management,217,622431.9673298497,91088.63152818006,98,84.288561733526,94,Minor,Normal
2023-05-31,Southeast,Freight Management,203,463336.98623745,87995.31881945637,22,33.32631007159989,92,None,Normal
2024-07-21,Southeast,Supply Chain Solutions,79,173372.6145635574,17066.84531138788,73,34.024300257698016,139,None,High
2024-11-13,Northeast,Dedicated Contract Carriage,180,186291.349385992,92235.25267502737,69,71.67076217583062,75,None,Normal
2024-11-17,Southeast,Supply Chain Solutions,39,60224.914962638155,8883.058229667324,32,50.83976601020351,83,Minor,Normal
2023-01-22,Southeast,Fleet Maintenance,85,96441.21858572184,38065.73165996621,92,83.83212075180234,120,None,Normal
2023-01-01,Midwest,Supply Chain Solutions,79,143841.11057623095,23808.372050869446,49,72.14856916045068,62,None,High
2024-12-30,Midwest,Fleet Maintenance,102,146669.96217510983,62416.88966184945,55,32.850863136733786,166,None,Normal
2023-09-18,West,Transportation Management,214,421486.6136308564,74296.78430083941,46,60.80445606717526,92,None,High
2023-07-20,Northeast,Supply Chain Solutions,161,281722.5416998573,112321.27559372662,78,46.460628746026906,110,Minor,Normal
2023-06-19,Northwest,Transportation Management,142,173372.1657281389,47545.89948287663,26,51.37441279678774,81,Minor,Normal
2023-10-06,Midwest,Supply Chain Solutions,152,260573.5046614408,89386.43058974625,31,91.37351952506381,68,None,High
2024-09-07,Northeast,Dedicated Contract Carriage,68,134766.6134086718,34605.18876295442,76,79.70085574462064,125,None,Normal
2024-07-04,Midwest,Dedicated Contract Carriage,222,598017.6636898551,81317.12101287383,89,57.1560002698443,174,None,High
2024-01-13,Southeast,Freight Management,100,161055.87935320335,32449.39032466389,94,71.24501593760263,141,Minor,High
2023-04-26,Southwest,Transportation Management,254,718310.7752547372,62504.95446622504,90,71.54436260258954,187,Minor,Normal
2023-08-27,Southwest,Distribution Center Management,67,112841.98689057847,18855.201287596985,38,43.67926661506101,119,Severe,High
2024-06-14,Midwest,Dedicated Contract Carriage,212,419188.5429328227,123828.24231886373,84,55.83296217894331,118,None,Normal
2023-02-18,Northeast,Distribution Center Management,88,186450.42651709053,53216.93883457284,45,34.65746117650658,109,None,Normal
2024-01-10,Midwest,Dedicated Contract Carriage,221,268406.4823922716,59589.18974459426,35,67.76290138695504,98,None,Normal
2024-06-16,Northeast,Freight Management,155,283273.98551387584,79390.32242864292,66,76.77773745745937,84,None,High
2024-08-16,Northwest,Freight Management,131,223625.69016544733,85230.69168570283,50,88.68804780422359,104,None,High
2023-09-18,Northwest,Freight Management,92,170987.3353688682,41682.202781649874,54,68.10224300431581,83,Minor,Low
2023-11-08,Northwest,Distribution Center Management,153,428328.72288285336,20608.939950274853,79,61.70339798272037,180,Severe,Normal
2024-10-03,Southwest,Supply Chain Solutions,62,178806.65329457333,11815.781558632965,80,74.91422313600086,180,None,High
2023-05-15,Southeast,Fleet Maintenance,160,170072.20880119625,38774.04108088443,36,70.90559133113975,72,None,Normal
2023-01-21,Northeast,Freight Management,102,284043.0944665435,84441.56989832861,84,77.54896411329992,70,Severe,Normal
2023-10-18,Southwest,Transportation Management,85,198621.43859404232,19391.74019977299,95,36.627738275016384,178,None,Normal
2024-10-18,Midwest,Dedicated Contract Carriage,131,380217.6040270871,38405.164041835735,71,71.39222879694462,199,None,Low
2024-10-31,Northeast,Fleet Maintenance,116,268038.69330929755,28430.469846919605,89,69.53277871630857,171,None,Normal
2024-10-30,Southeast,Supply Chain Solutions,129,248862.5541178251,75929.68104554845,91,74.70877164004077,189,Minor,Low
2023-06-11,West,Transportation Management,101,217419.9363716503,32114.309978952406,27,65.31945051287808,65,None,Low
2024-12-09,Southeast,Transportation Management,104,195707.06042271882,38258.676821680485,98,67.1694451354067,102,None,Low
2024-02-09,Southeast,Transportation Management,260,341677.8719535705,116447.6347032225,49,57.33866861274047,106,None,High
2023-11-15,Southwest,Dedicated Contract Carriage,109,221581.44327144546,14715.78922448489,60,66.63816879877913,53,Moderate,Normal
2024-07-21,Southwest,Transportation Management,76,169744.4083228399,32917.54479424852,73,44.166167669896595,130,Minor,Normal
2023-06-21,Northwest,Distribution Center Management,168,220716.47976805107,56841.06489795821,33,74.3615685527352,127,Minor,Normal
2023-02-06,Southwest,Supply Chain Solutions,197,362208.98579261714,119928.43547407689,97,56.005781756228245,103,Moderate,High
2023-02-02,Southeast,Fleet Maintenance,173,379717.4299622105,205504.0570531929,83,65.54088729715994,188,None,Normal
2023-11-30,West,Distribution Center Management,175,347222.8801474032,165086.03714378,72,67.80637010122913,76,Minor,Normal
2023-09-09,Midwest,Distribution Center Management,46,94332.30316555167,34837.322096275115,90,44.92830043947396,127,None,Normal
2023-08-23,Northeast,Distribution Center Management,123,437843.7273814861,24098.695661527603,37,34.421020557701006,70,Severe,Normal
2023-12-12,Northwest,Fleet Maintenance,196,524737.5354592655,71636.0637997174,34,93.63503567583861,182,None,Normal
2023-12-31,Southeast,Distribution Center Management,64,148164.250092001,36260.327728536264,90,63.40170140003665,133,None,High
2024-06-01,West,Dedicated Contract Carriage,105,199437.32762840306,22167.656325614287,61,49.71827835365305,186,None,Normal
2023-11-13,Northeast,Distribution Center Management,177,405363.6155106011,44273.05121267853,69,83.42452183535141,88,Severe,High
2023-03-01,Northeast,Dedicated Contract Carriage,216,299972.3757226169,267312.64530304435,77,73.22877145508726,190,None,Normal
2024-07-03,Northeast,Distribution Center Management,228,475255.31782442,80445.22976428385,61,78.3711136069107,162,None,Normal
2023-08-13,Midwest,Supply Chain Solutions,104,236114.3466125076,88561.03549011293,97,81.70212730759073,51,None,Normal
2023-05-08,Southwest,Fleet Maintenance,207,365632.0122277316,74152.35724550197,32,54.808932432490444,156,None,Low
2024-08-01,Northeast,Fleet Maintenance,170,282700.0429789428,71025.363333374,76,53.02411781214572,97,None,High
2024-01-17,Southwest,Distribution Center Management,210,306513.62332783133,40800.01652829781,23,53.47603546712472,108,Severe,High
2024-03-09,Midwest,Distribution Center Management,95,228137.84506868437,22049.1296445251,47,62.289660802300006,158,Moderate,Low
2023-05-12,Northwest,Fleet Maintenance,232,478459.9085056811,84882.15740920542,53,60.499770466736,118,None,Low
2024-06-05,Northwest,Freight Management,129,179519.96229360008,31385.526317988406,30,67.06899510018593,123,Minor,Low
2023-07-08,Northwest,Distribution Center Management,126,268503.8406280774,148410.45859800448,40,81.79390972300516,94,Moderate,Normal
2024-12-25,Northeast,Distribution Center Management,165,250051.91361346556,57910.997956494946,66,70.2986989907997,119,None,Low
2023-03-09,Southwest,Transportation Management,217,560067.336595844,39938.99240447767,32,71.3221419984268,139,None,Low
2023-05-27,Southeast,Freight Management,116,287375.345375015,59797.05677365463,75,78.24979954681247,178,Moderate,Low
2023-10-11,Northwest,Fleet Maintenance,98,209456.72237438156,39181.5572517094,66,82.29842786686629,77,None,Low
2024-07-02,West,Fleet Maintenance,209,435140.5032264636,66314.5132690941,47,83.1789351054975,179,None,Low
2023-10-31,West,Distribution Center Management,120,233170.0698537354,99370.85381511187,55,75.57851399982081,147,None,Normal
2023-10-30,West,Fleet Maintenance,76,109603.16881423551,24248.091493333864,72,77.77870741590645,172,None,Normal
2023-05-16,Southeast,Distribution Center Management,211,381789.5743575974,87181.95120107297,36,38.09280672482852,176,Minor,Normal
2023-02-16,Midwest,Transportation Management,195,463567.23361605057,100899.30455435,59,83.42144301092104,167,None,Normal
2024-12-07,Southeast,Distribution Center Management,120,224218.6221880103,57821.527244551005,62,61.78761830168732,124,None,High
2024-11-12,Midwest,Dedicated Contract Carriage,124,327600.68912790396,34642.48608850686,83,67.09889106538064,148,None,High
2024-01-24,Southeast,Fleet Maintenance,347,692879.8263389182,266213.8262280251,50,55.43213766969407,75,None,High
2023-05-12,Northeast,Freight Management,252,474630.62687407725,55389.06350752658,67,74.78104560221409,66,None,Normal
2024-11-11,Southeast,Supply Chain Solutions,78,130402.90139414028,28904.81181800029,59,68.06258495012727,185,Moderate,High
2024-11-22,Southwest,Supply Chain Solutions,147,394486.14686569606,89230.1653113181,96,76.58344607772912,176,None,High
2023-05-28,West,Fleet Maintenance,110,260439.16057150054,45592.82596985287,33,72.86294715429345,136,None,Low
2024-07-22,West,Distribution Center Management,134,239905.9582655288,42440.33940318729,49,40.57427416043822,62,Severe,Normal
2024-10-09,Southwest,Dedicated Contract Carriage,160,303879.75280991837,127179.29635927961,71,52.8546155773467,194,None,Normal
2023-05-30,Southeast,Transportation Management,203,491346.0608488011,78964.6410729076,72,78.72501215995011,117,None,Normal
2024-05-11,Southwest,Distribution Center Management,166,296929.545499777,160975.98549252978,92,90.40633805894826,156,None,Low
2023-02-21,West,Freight Management,172,386269.88060867524,134220.95096925396,82,31.910884528148397,68,None,Normal
2024-07-17,Midwest,Fleet Maintenance,230,308149.7038877546,102564.28211516002,99,51.693384793216964,169,None,Low
2023-06-11,Southwest,Freight Management,107,146765.51812485384,24450.456917136875,60,63.56967319801843,194,Minor,Low
2023-09-18,Northwest,Distribution Center Management,131,258713.6458275319,44993.74151458835,70,59.58107466421865,61,None,Normal
2024-01-18,Southwest,Supply Chain Solutions,227,681403.8242860646,137104.3004888505,81,64.6855283873975,99,None,High
2024-09-06,Midwest,Supply Chain Solutions,84,274977.9821888463,37732.39786726616,31,64.83610433166625,94,None,Low
2023-09-14,Southeast,Dedicated Contract Carriage,135,280926.16963615146,78018.15026832468,55,37.86518776944806,82,None,Normal
2023-10-31,Southwest,Fleet Maintenance,117,278096.69709081197,52833.724698676546,32,42.44164943017628,64,None,Normal
2024-02-12,Midwest,Freight Management,281,354578.91827533924,36265.806801904844,59,57.87752552459751,160,None,Normal
2024-10-26,Southwest,Supply Chain Solutions,73,117236.89461902781,21253.73644586289,51,69.9974663523155,109,None,Normal
2024-08-28,West,Freight Management,105,107941.5693008749,27677.68262590624,55,39.41389464565798,161,None,High
2023-10-26,Northeast,Distribution Center Management,94,213489.20682369315,54291.14095917929,21,71.24545004541102,178,Minor,Low
2023-04-01,Northeast,Distribution Center Management,154,197634.3566498413,52558.98065063991,82,47.3294932148853,133,Minor,Normal
2023-12-16,Northwest,Distribution Center Management,69,97000.95666327898,26082.121465595923,37,91.97256144761617,167,None,Low
2024-12-17,Northwest,Fleet Maintenance,215,545426.5131266301,297781.25217571075,57,78.92394423937084,191,Minor,Low
2023-10-19,Midwest,Freight Management,168,414603.4205775614,58283.596591153386,81,80.78778917698664,165,None,Low
2024-11-30,Southwest,Distribution Center Management,73,65935.79253955396,42210.49442039495,91,30.4928831942335,179,Minor,Normal
2024-01-23,Midwest,Freight Management,141,255560.9572324899,42828.514590756335,81,60.07717837983779,117,None,Normal
2023-07-01,West,Fleet Maintenance,81,127090.51921663145,57797.24652777671,74,56.079846686875044,108,None,Normal
2024-04-25,Midwest,Dedicated Contract Carriage,186,425793.68349025253,58246.995530142296,66,64.96650276860869,134,None,Normal
2024-07-08,Northeast,Supply Chain Solutions,94,124064.39108544367,63361.10792365043,31,62.33034611077429,138,None,Normal
2023-01-31,West,Transportation Management,313,561705.5442495265,65615.25418507797,55,75.4294804424212,150,None,Normal
2024-04-07,Northeast,Distribution Center Management,130,217172.9606768412,90220.9670825319,63,53.22711671384711,51,Minor,Low
2023-11-22,Northeast,Dedicated Contract Carriage,125,302218.32276995544,49799.510948170755,66,31.779662691939482,108,None,Normal
2024-04-08,Midwest,Transportation Management,265,575426.9898624844,72356.55940761072,41,47.36725457269201,80,None,Normal
2024-11-23,Midwest,Supply Chain Solutions,123,276600.3587083556,61051.955908837095,74,49.33705430734881,122,None,Low
2023-06-30,Midwest,Dedicated Contract Carriage,141,378266.65391180955,31489.526879375135,39,25.882556677092435,184,Severe,Normal
2023-03-17,Southwest,Fleet Maintenance,111,185961.59619981775,50159.33268451952,37,78.17963283194295,140,None,Low
2023-12-11,Northwest,Supply Chain Solutions,141,291962.47850147635,65332.054621281146,24,79.11684490404,160,None,Normal
2023-06-13,Northeast,Freight Management,167,312591.4500048922,98524.8295611106,98,53.13510242685705,80,None,Low
2024-02-18,Southwest,Freight Management,95,129684.27039487197,30329.824425181294,25,90.83370135929854,61,None,Normal
2023-11-21,Northeast,Distribution Center Management,129,274199.1536275897,37278.80311260914,60,75.58590641956222,81,None,Normal
2023-01-15,West,Freight Management,79,181966.96292415156,29330.586021006366,26,31.75682196528281,93,None,Normal
2024-06-29,Southeast,Supply Chain Solutions,50,102381.80521155748,23813.84338415541,99,78.52898946039676,143,None,Low
2023-03-19,Northwest,Fleet Maintenance,115,313899.769931969,35119.24544951616,60,94.38414354985191,165,Moderate,Normal
2023-03-14,West,Fleet Maintenance,244,403292.6901539102,56438.291769361414,41,74.02933331233884,152,None,Normal
2023-05-08,Midwest,Fleet Maintenance,178,322798.3544791983,77746.91880855207,32,67.32131898063908,160,None,Normal
2023-10-22,Southeast,Dedicated Contract Carriage,32,52582.112283453374,16790.724502514557,57,69.01073861823247,82,None,Normal
2023-01-04,Southeast,Fleet Maintenance,288,489926.091123,207735.96066308708,73,64.14321622585442,67,None,Low
2023-05-28,Midwest,Fleet Maintenance,100,278309.37973155844,27149.17356457782,92,89.17519851971475,131,None,High
2023-06-16,Midwest,Dedicated Contract Carriage,193,291510.2704473634,58827.104365398714,57,31.101545343464682,62,None,High
2024-07-13,Midwest,Freight Management,90,193139.0631222807,60880.71208036311,49,69.22182892903076,159,Minor,Normal
2023-02-05,West,Transportation Management,105,211198.55886751003,100821.00016971273,32,73.5743374269275,103,Minor,Normal
2023-11-28,Northwest,Freight Management,148,229540.6991905735,54390.084150346374,31,54.25544464062364,197,None,Normal
2024-01-15,Southwest,Dedicated Contract Carriage,289,564489.8300018972,58335.3987247311,75,68.37075754092191,115,None,Normal
2023-06-12,Southwest,Supply Chain Solutions,145,443276.4495586828,14188.31953202219,91,67.6995497535951,178,None,Low
2024-12-20,West,Freight Management,103,208261.46247684327,66568.5537137167,93,76.26359107868358,54,None,High
2023-02-04,Southeast,Distribution Center Management,129,168156.92587060237,40800.54243002724,31,52.55541415607817,108,Minor,Low
2023-09-09,Southeast,Distribution Center Management,78,143996.45030700287,25952.48237181175,28,59.954220942294825,187,None,Normal
2023-04-20,Northeast,Transportation Management,196,322804.11837931396,69124.04979053592,70,52.86737736190387,70,None,Low
2023-04-20,West,Distribution Center Management,236,525202.3130308002,94994.07413288434,58,57.642303700331,130,Minor,High
2023-06-14,Northeast,Supply Chain Solutions,101,198149.21561305237,47246.29809809251,60,72.81957510685916,52,Severe,Normal
2023-12-13,Northeast,Distribution Center Management,216,537944.9261402468,37199.96211689271,83,48.50974282253795,55,None,Normal
2024-09-17,Southeast,Freight Management,201,504406.1220588709,120816.72539218805,38,14.341845093167105,137,None,Normal
2024-03-17,Midwest,Fleet Maintenance,107,198946.56336738667,147788.1822811454,25,21.660631394166746,172,None,Normal
2023-05-14,Southwest,Dedicated Contract Carriage,85,127168.80631326117,41661.01845065174,22,80.4025463500804,104,Moderate,Low
2023-06-07,Midwest,Fleet Maintenance,209,293657.2917466286,74165.37691938161,59,63.14732407336836,142,Minor,Normal
2023-09-21,West,Fleet Maintenance,166,333445.95657097,52435.840454888064,20,87.45570446665525,66,Minor,Normal
2023-10-30,Northeast,Dedicated Contract Carriage,153,376964.58997470955,43095.0565794556,77,69.08149121466305,64,None,Normal
2024-09-28,Midwest,Dedicated Contract Carriage,94,207824.8120546576,47091.332236223105,54,31.982897000464288,89,None,High
2024-10-08,Southwest,Freight Management,163,380048.7611895827,104385.28921295104,91,51.1028099535383,96,None,Normal
2024-03-11,Southeast,Freight Management,289,632147.4845634354,130106.03042133318,82,60.50998887945575,140,None,Normal
2023-10-19,Midwest,Fleet Maintenance,209,533697.1266313124,110433.6110762496,43,76.87361370575566,161,None,Normal
2023-07-27,Northwest,Transportation Management,218,484849.5606728147,88939.22055663784,82,71.42692327173175,92,None,Low
2023-02-03,Northeast,Distribution Center Management,257,351258.36285455694,263983.5867460679,62,66.42362015195327,80,None,High
2023-04-26,Southeast,Distribution Center Management,221,661252.6668575959,89807.570592219,24,87.1609529869628,98,None,Low
2023-07-27,Midwest,Distribution Center Management,166,393608.210527894,122379.51376272696,60,68.41615540306337,57,None,Normal
2023-11-14,West,Freight Management,125,204074.48195025488,48822.20500845072,82,57.79974094447107,184,None,Normal
2024-06-22,Northwest,Transportation Management,110,248752.26022373393,79029.08235240914,35,53.45876235649145,156,None,High
2024-07-16,Southwest,Freight Management,186,471339.3688724888,55040.40574647233,93,47.50890560126232,177,None,High
2024-10-02,Northeast,Fleet Maintenance,131,281781.6165488837,88251.50935844978,27,49.25194994746815,59,None,Normal
2023-02-23,Southeast,Dedicated Contract Carriage,262,558161.9777988875,139715.5797421842,21,57.37484169674252,136,None,Normal
2023-02-14,Southwest,Distribution Center Management,247,166102.01110337637,98843.75151986719,32,77.13408187260902,189,None,Low
2024-11-07,Northwest,Freight Management,163,422453.25371656724,58608.950072388245,98,75.74070592812548,113,None,High
2024-06-15,Southwest,Distribution Center Management,111,134625.35667697893,58351.28350668713,23,59.568861169626686,68,None,High
2024-03-31,West,Supply Chain Solutions,115,173111.46689374236,52404.478523247046,34,71.41205524215452,114,None,High
2023-01-11,West,Distribution Center Management,179,496080.1101849104,112650.95294672594,69,26.762023628820224,130,None,Normal
2024-05-10,Southwest,Dedicated Contract Carriage,99,189101.16168315854,57030.0967904003,66,57.410192128408376,175,None,Normal
2024-09-25,West,Transportation Management,116,317411.68978634005,56499.31110970272,50,60.186814202493046,144,Minor,Normal
2023-10-11,Northeast,Transportation Management,127,322135.11144250404,198524.24064566533,66,72.29827827298884,138,Moderate,Normal
2024-12-15,Southeast,Distribution Center Management,142,282209.55097927694,137256.72400683878,96,74.63906543744284,83,Minor,Normal
2024-09-09,West,Distribution Center Management,142,324829.75627928495,49183.085362965576,83,65.75879842803862,78,None,High
2024-06-01,Midwest,Transportation Management,85,179524.78469066508,19682.017093863073,88,65.14639282658898,110,None,Normal
2023-11-15,Midwest,Supply Chain Solutions,135,303125.063544356,43065.799718015995,61,78.56482453563267,199,None,Normal
2024-09-09,Northwest,Transportation Management,117,256409.00383761735,42452.661472661915,26,75.02607724442389,55,Moderate,Normal
2023-02-20,West,Supply Chain Solutions,164,365670.0664339589,140172.08233183142,57,32.97594231761891,122,None,Normal
2023-08-25,Northwest,Transportation Management,160,402412.8062326489,45475.76923129811,58,70.73208033463251,62,None,Normal
2023-08-02,Northeast,Dedicated Contract Carriage,115,342193.0122667985,29835.299558854516,39,43.73220422803207,136,None,High
2023-06-02,Northeast,Dedicated Contract Carriage,231,440841.2669155107,64048.06439108882,41,41.29555479183719,77,None,High
2023-06-17,West,Supply Chain Solutions,87,160899.68588964405,43888.458777894266,70,61.45461709364428,81,Moderate,Low
2024-11-26,Southwest,Distribution Center Management,145,287561.17837399675,147083.40203040952,26,58.464153829725,68,None,High
2023-04-13,Northwest,Transportation Management,106,239432.32908400198,64302.87983023633,99,66.32203273100102,60,None,Low
2024-06-05,Southwest,Freight Management,112,243456.08224847983,90377.77786481578,23,77.68688797825119,75,Moderate,Normal
2024-01-25,Southeast,Supply Chain Solutions,125,306620.5287975596,38344.56367864459,96,51.95462482585879,196,None,High
2024-06-25,Southwest,Distribution Center Management,143,288644.73565656657,48874.696835973125,60,44.667695811255435,141,None,Low
2024-07-15,Northeast,Fleet Maintenance,115,162992.5329225665,23257.54502121323,91,37.096513602350825,70,None,Normal
2023-06-30,West,Freight Management,197,385006.4504678891,133517.719819231,97,75.74624582764122,133,None,Normal
2023-02-07,Northeast,Dedicated Contract Carriage,227,465206.4671886188,78008.24456540759,55,78.01466758587229,177,None,Low
2024-11-25,Northwest,Supply Chain Solutions,121,152247.54725412538,70674.94788054505,85,62.99207175788622,190,None,Low
2023-05-06,Northeast,Transportation Management,143,188064.88952643573,28840.65201682506,51,70.7040855777131,74,Minor,Normal
2023-03-31,Southwest,Supply Chain Solutions,271,374320.6590531999,153516.14224654075,26,70.24461193191077,132,None,High
2023-01-27,Southeast,Dedicated Contract Carriage,189,401815.0279677175,54550.27364620493,98,76.96865913147292,176,None,Normal
2023-07-31,Southwest,Dedicated Contract Carriage,97,140314.60440376596,73622.84202340136,29,62.60299890230897,195,None,Low
2023-02-05,Southwest,Transportation Management,80,116352.7306069714,34262.90763357038,94,66.44975206544291,121,Minor,Normal
2024-06-24,Northwest,Transportation Management,174,330879.991158388,69551.99653528261,92,59.47328499109228,148,None,High
2024-03-06,Southwest,Dedicated Contract Carriage,228,476486.26934895664,60482.23135923512,66,61.78434549518005,79,None,Normal
2023-02-20,Southwest,Distribution Center Management,281,724917.7157146685,47079.591065791195,67,76.29452051588427,67,None,Normal
2023-06-10,West,Transportation Management,101,149108.68214001745,53522.68597242863,89,61.46304804113186,102,None,Normal
2023-08-19,Northeast,Distribution Center Management,67,135949.94392556648,20074.82359402645,20,55.700237747064755,184,None,Normal
2024-02-08,West,Dedicated Contract Carriage,217,426297.5299253426,322299.99976166594,96,71.42348878527648,172,Moderate,Normal
2023-04-19,Southwest,Freight Management,180,274629.52082731907,53125.426062774706,88,84.43289403430822,77,None,Normal
2023-10-31,Southwest,Transportation Management,153,282471.1714572362,46813.42711505405,30,39.559097594741345,127,Moderate,Normal
2023-09-07,Southwest,Fleet Maintenance,111,205583.02990648313,31892.922110733507,31,88.22850994900936,120,None,Low
2023-02-05,Southwest,Freight Management,131,106309.57072640627,67107.8481633389,64,73.22627268242734,127,None,Normal
2024-05-27,Southeast,Supply Chain Solutions,147,301125.8662041321,78496.88851140383,53,81.30933370334932,179,None,High
2023-04-08,Southeast,Distribution Center Management,126,318531.9623366775,30465.389917098204,40,67.13598924174269,128,Severe,Normal
2024-07-29,Southeast,Transportation Management,75,85110.87798674344,31613.438514133413,81,52.483315137206056,170,None,Low
2024-06-26,Southeast,Dedicated Contract Carriage,283,614106.1912958046,124797.133324705,62,64.58424105114261,154,None,Normal
2023-02-18,West,Distribution Center Management,103,284336.4104345658,53094.22866437919,64,51.80820325078742,170,None,Normal
2023-11-25,Northwest,Transportation Management,73,142843.40859870124,73747.9158882473,59,77.18621301050133,162,None,Normal
2023-05-09,Southeast,Transportation Management,262,709615.4915147013,79634.66195547493,61,66.95875306253235,190,None,Low
2023-12-14,Midwest,Supply Chain Solutions,199,343037.5667017763,81834.4999746261,20,90.93939542828505,181,Severe,Low
2024-07-24,Midwest,Dedicated Contract Carriage,141,303971.68614328513,81313.72388987665,38,74.30178070844934,174,None,Normal
2024-06-08,Southwest,Freight Management,85,161636.75493356347,53133.337380019984,91,52.581271251684704,179,None,High
2024-05-07,Northwest,Fleet Maintenance,182,429545.6973564628,41887.587938857825,39,39.65067683749983,59,None,Normal
2024-01-28,Northwest,Dedicated Contract Carriage,99,172005.36011491416,54124.376329761944,60,49.9845483223792,180,None,Normal
2023-04-28,Midwest,Distribution Center Management,321,667940.9293083419,344962.09559902875,27,68.60349163825568,118,Minor,Normal
2023-04-21,Midwest,Dedicated Contract Carriage,106,93463.54783904123,56367.984751128395,71,58.984200691402435,161,None,Normal
2023-03-31,Northeast,Fleet Maintenance,218,474781.3655692096,54333.48811888797,53,46.98481377142827,192,None,Normal
2024-03-17,Northeast,Distribution Center Management,132,212399.54494099604,43433.23062666413,96,61.25667412041531,103,None,High
2023-10-22,Midwest,Transportation Management,70,168974.7933516548,36322.59054688856,61,47.18808685381358,67,None,Normal
